h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,0.715382,0.891038,0.715382,0.891038,"{'att': 312, 'def': 20}","{'att': 228, 'def': 9}",2,4,2,2,1.1703999999999999,d,2018-08-11 19:30:00,0,1,0,1,-0.17565600000000003
h,2.02004,1.77471,2.02004,1.77471,"{'att': 137, 'def': 27}","{'att': 216, 'def': 22}",4,7,2,1,1.564,w,2018-08-18 17:00:00,1,0,0,3,0.24532999999999983
a,0.543665,2.5887,0.543665,1.82753,"{'att': 208, 'def': 22}","{'att': 187, 'def': 20}",4,11,2,2,0.18460000000000001,d,2018-08-25 17:00:00,0,1,0,1,-1.283865
h,0.616013,0.660035,0.616013,0.660035,"{'att': 179, 'def': 21}","{'att': 271, 'def': 29}",2,1,1,1,1.2222,d,2018-09-01 14:00:00,0,1,0,1,-0.044022000000000006
h,1.26774,1.52437,1.26774,1.52437,"{'att': 179, 'def': 27}","{'att': 244, 'def': 22}",5,7,1,3,1.1214,l,2018-09-16 15:00:00,0,0,1,0,-0.2566299999999999
a,1.06523,0.930544,1.06523,0.930544,"{'att': 309, 'def': 18}","{'att': 151, 'def': 31}",5,15,0,2,1.4826,l,2018-09-23 15:00:00,0,0,1,0,0.13468599999999986
h,2.31538,0.536317,1.55432,0.536317,"{'att': 216, 'def': 26}","{'att': 230, 'def': 23}",7,6,3,0,2.649,w,2018-09-29 14:00:00,1,0,0,3,1.0180029999999998
a,1.14952,1.10472,1.14952,1.10472,"{'att': 263, 'def': 20}","{'att': 212, 'def': 17}",6,2,2,1,1.3692,w,2018-10-06 14:00:00,1,0,0,3,0.04480000000000017
h,1.92794,1.50174,1.92794,0.740567,"{'att': 176, 'def': 20}","{'att': 266, 'def': 30}",10,5,2,0,1.6654,w,2018-10-21 15:00:00,1,0,0,3,1.187373
a,1.67348,2.51393,0.912308,1.64513,"{'att': 268, 'def': 25}","{'att': 239, 'def': 27}",6,5,1,2,0.7351,l,2018-10-28 15:00:00,0,0,1,0,-0.732822
h,2.59305,0.676348,2.59305,0.676348,"{'att': 178, 'def': 28}","{'att': 286, 'def': 26}",10,0,3,1,2.6790999999999996,w,2018-11-03 15:00:00,1,0,0,3,1.916702
a,0.198027,1.16298,0.198027,1.16298,"{'att': 431, 'def': 25}","{'att': 171, 'def': 25}",0,7,0,0,0.4373,d,2018-11-11 14:15:00,0,1,0,1,-0.964953
h,2.48066,0.879108,2.48066,0.879108,"{'att': 81, 'def': 18}","{'att': 282, 'def': 14}",5,1,1,0,2.515,w,2018-11-24 15:00:00,1,0,0,3,1.6015519999999999
a,1.23014,3.07574,1.23014,3.07574,"{'att': 305, 'def': 18}","{'att': 208, 'def': 34}",5,8,0,1,0.2555,l,2018-12-02 16:15:00,0,0,1,0,-1.8456000000000001
h,2.10943,1.52214,2.10943,1.52214,"{'att': 102, 'def': 16}","{'att': 332, 'def': 27}",5,4,1,1,1.8094999999999999,d,2018-12-05 19:45:00,0,1,0,1,0.5872900000000001
h,1.72686,1.63043,0.965692,1.63043,"{'att': 143, 'def': 20}","{'att': 206, 'def': 28}",9,5,2,2,1.44,d,2018-12-10 20:00:00,0,1,0,1,-0.664738
a,1.6235,1.79848,1.6235,1.79848,"{'att': 411, 'def': 17}","{'att': 208, 'def': 24}",4,6,1,3,1.2283,l,2018-12-15 12:30:00,0,0,1,0,-0.17498000000000014
h,1.00121,2.55514,1.00121,2.55514,"{'att': 417, 'def': 28}","{'att': 213, 'def': 20}",3,5,2,6,0.3945000000000001,l,2018-12-23 16:00:00,0,0,1,0,-1.5539300000000003
a,1.8875,1.88646,1.12637,1.88646,"{'att': 202, 'def': 16}","{'att': 231, 'def': 23}",6,3,5,1,1.3337,w,2018-12-26 15:00:00,1,0,0,3,-0.7600899999999999
a,0.655851,1.60311,0.655851,1.60311,"{'att': 169, 'def': 13}","{'att': 240, 'def': 26}",5,4,0,1,0.5871,l,2018-12-29 15:00:00,0,0,1,0,-0.9472590000000001
h,0.871304,0.644144,0.871304,0.644144,"{'att': 175, 'def': 31}","{'att': 265, 'def': 18}",10,2,0,1,1.5005,l,2019-01-01 12:30:00,0,0,1,0,0.22715999999999992
