rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,3.03,0.27,93.45
2,2,Liverpool,Barclays Premier League,2.9,0.24,93.26
3,3,Bayern Munich,German Bundesliga,3.41,0.59,91.63
4,4,Chelsea,Barclays Premier League,2.45,0.33,88.35
5,5,Paris Saint-Germain,French Ligue 1,2.79,0.65,85.82
6,6,Real Madrid,Spanish Primera Division,2.73,0.64,85.5
7,7,Ajax,Dutch Eredivisie,3.05,0.88,84.56
8,8,Barcelona,Spanish Primera Division,2.37,0.5,84.32
9,9,Tottenham Hotspur,Barclays Premier League,2.45,0.56,84.1
10,10,Internazionale,Italy Serie A,2.53,0.71,82.1
11,11,RB Leipzig,German Bundesliga,2.45,0.67,81.83
12,12,FC Porto,Portuguese Liga,2.33,0.6,81.6
13,13,FC Salzburg,Austrian T-Mobile Bundesliga,2.46,0.69,81.54
14,14,Borussia Dortmund,German Bundesliga,2.6,0.8,81.09
15,15,Atletico Madrid,Spanish Primera Division,2.01,0.47,80.37
16,16,Arsenal,Barclays Premier League,2.2,0.59,80.18
17,17,Villarreal,Spanish Primera Division,2.25,0.63,80.05
18,18,Brighton and Hove Albion,Barclays Premier League,2.08,0.52,80.03
19,19,AC Milan,Italy Serie A,2.11,0.54,80.03
20,20,Sporting CP,Portuguese Liga,2.17,0.59,79.84
21,21,Bayer Leverkusen,German Bundesliga,2.34,0.8,77.76
22,22,Napoli,Italy Serie A,2.18,0.73,76.96
23,23,Real Sociedad,Spanish Primera Division,1.91,0.55,76.87
24,24,Atalanta,Italy Serie A,2.28,0.81,76.54
25,25,Crystal Palace,Barclays Premier League,1.88,0.55,76.48
26,26,Aston Villa,Barclays Premier League,2.02,0.65,76.22
27,27,Athletic Bilbao,Spanish Primera Division,1.88,0.56,76.17
28,28,AS Roma,Italy Serie A,1.93,0.6,75.94
29,29,Benfica,Portuguese Liga,2.16,0.79,75.32
30,30,Feyenoord,Dutch Eredivisie,2.35,0.93,75.13
31,31,1. FC Union Berlin,German Bundesliga,2.0,0.69,74.94
32,32,Manchester United,Barclays Premier League,2.07,0.75,74.67
33,33,Celta Vigo,Spanish Primera Division,1.85,0.63,74.06
34,34,Real Betis,Spanish Primera Division,1.88,0.68,73.36
35,35,Lazio,Italy Serie A,2.22,0.92,73.27
36,36,Sevilla FC,Spanish Primera Division,1.74,0.58,73.15
37,37,West Ham United,Barclays Premier League,1.98,0.76,73.02
38,38,AS Monaco,French Ligue 1,2.08,0.84,72.95
39,39,Mainz,German Bundesliga,2.06,0.84,72.55
40,40,Celtic,Scottish Premiership,2.2,0.95,72.43
41,41,Brentford,Barclays Premier League,1.99,0.79,72.4
42,42,Fiorentina,Italy Serie A,1.95,0.77,72.18
43,43,Lyon,French Ligue 1,2.24,0.99,72.04
44,44,Stade Rennes,French Ligue 1,2.04,0.86,71.73
45,45,Newcastle,Barclays Premier League,1.84,0.71,71.71
46,46,Borussia Monchengladbach,German Bundesliga,2.3,1.07,71.33
47,47,Leicester City,Barclays Premier League,1.98,0.83,71.31
48,48,Strasbourg,French Ligue 1,1.84,0.75,70.84
49,49,PSV,Dutch Eredivisie,2.36,1.14,70.81
50,50,Zenit St Petersburg,Russian Premier Liga,1.99,0.87,70.6
51,51,FC Cologne,German Bundesliga,2.04,0.91,70.45
52,52,SC Freiburg,German Bundesliga,2.14,1.0,70.26
53,53,Rangers,Scottish Premiership,2.03,0.91,70.25
54,54,Marseille,French Ligue 1,1.8,0.75,70.22
55,55,Wolverhampton,Barclays Premier League,1.78,0.76,69.58
56,56,Lille,French Ligue 1,1.71,0.7,69.53
57,57,VfL Wolfsburg,German Bundesliga,1.96,0.91,69.11
58,58,Valencia,Spanish Primera Division,1.7,0.72,68.99
59,59,Getafe,Spanish Primera Division,1.5,0.58,68.74
60,60,Eintracht Frankfurt,German Bundesliga,1.88,0.87,68.66
61,61,Juventus,Italy Serie A,1.89,0.88,68.42
62,62,Torino,Italy Serie A,1.72,0.77,67.89
63,63,TSG Hoffenheim,German Bundesliga,2.17,1.14,67.7
64,64,Rayo Vallecano,Spanish Primera Division,1.71,0.79,67.4
65,65,Lens,French Ligue 1,1.76,0.85,66.76
66,66,Osasuna,Spanish Primera Division,1.65,0.78,66.57
67,67,Cadiz,Spanish Primera Division,1.71,0.84,66.06
68,68,Verona,Italy Serie A,1.88,0.98,66.06
69,69,Club Brugge,Belgian Jupiler League,1.96,1.04,66.04
70,70,VfB Stuttgart,German Bundesliga,1.94,1.03,65.96
71,71,FC Twente,Dutch Eredivisie,1.82,0.95,65.59
72,72,Dinamo Zagreb,UEFA Europa League,1.83,0.98,64.93
73,79,Palmeiras,Brasileiro Série A,1.68,0.87,64.89
74,73,Slavia Prague,UEFA Europa Conference League,1.9,1.07,64.29
75,74,Levante,Spanish Primera Division,1.99,1.16,64.13
76,75,Fulham,English League Championship,1.81,1.0,64.11
77,76,Burnley,Barclays Premier League,1.7,0.93,63.73
78,77,Shakhtar Donetsk,UEFA Champions League,1.96,1.14,63.71
79,78,Everton,Barclays Premier League,1.77,0.99,63.69
80,80,AZ,Dutch Eredivisie,1.94,1.14,63.31
81,81,Nice,French Ligue 1,1.62,0.88,63.17
82,82,Leeds United,Barclays Premier League,1.84,1.07,63.04
83,83,VfL Bochum,German Bundesliga,1.8,1.05,62.65
84,84,Braga,Portuguese Liga,1.55,0.87,62.17
85,85,Southampton,Barclays Premier League,1.82,1.1,61.93
86,86,Fenerbahce,Turkish Turkcell Super Lig,1.8,1.09,61.72
87,87,Flamengo,Brasileiro Série A,1.61,0.94,61.46
88,88,FC Augsburg,German Bundesliga,1.79,1.09,61.45
89,90,Elche,Spanish Primera Division,1.62,0.95,61.39
90,91,KAA Gent,Belgian Jupiler League,1.55,0.89,61.35
91,92,River Plate,Argentina Primera Division,1.61,0.95,61.26
92,93,Monterrey,Mexican Primera Division Torneo Clausura,1.59,0.94,61.06
93,94,Sassuolo,Italy Serie A,2.05,1.35,61.05
94,95,Udinese,Italy Serie A,1.81,1.14,60.94
95,96,Olympiacos,Greek Super League,1.61,0.99,60.36
96,97,Anderlecht,Belgian Jupiler League,1.75,1.11,60.35
97,98,Espanyol,Spanish Primera Division,1.57,0.97,60.08
98,89,Atletico Mineiro,Brasileiro Série A,1.59,0.98,59.98
99,99,Nantes,French Ligue 1,1.65,1.04,59.95
100,100,Genk,Belgian Jupiler League,1.82,1.2,59.81
101,101,Tigres UANL,Mexican Primera Division Torneo Clausura,1.7,1.1,59.55
102,102,FC Copenhagen,Danish SAS-Ligaen,1.63,1.05,59.26
103,103,FC Utrecht,Dutch Eredivisie,1.86,1.26,59.12
104,104,Hertha Berlin,German Bundesliga,1.65,1.08,59.12
105,105,Sochi,Russian Premier Liga,1.61,1.04,59.0
106,106,Club América,Mexican Primera Division Torneo Clausura,1.54,0.98,58.95
107,107,AFC Bournemouth,English League Championship,1.56,1.0,58.93
108,108,Dynamo Kiev,UEFA Champions League,1.66,1.09,58.89
109,109,Mallorca,Spanish Primera Division,1.62,1.06,58.85
110,110,Bologna,Italy Serie A,1.66,1.1,58.64
111,111,Guimaraes,Portuguese Liga,1.54,1.01,58.1
112,112,FC Midtjylland,Danish SAS-Ligaen,1.8,1.26,57.91
113,113,Granada,Spanish Primera Division,1.65,1.14,57.66
114,114,Reims,French Ligue 1,1.43,0.95,57.12
115,116,Young Boys,Swiss Raiffeisen Super League,2.02,1.51,56.91
116,117,Union Saint Gilloise,Belgian Jupiler League,1.51,1.04,56.71
117,118,Nottingham Forest,English League Championship,1.45,0.99,56.51
118,119,Red Star Belgrade,UEFA Europa League,1.69,1.22,56.42
119,120,Pachuca,Mexican Primera Division Torneo Clausura,1.58,1.13,56.12
120,115,São Paulo,Brasileiro Série A,1.37,0.94,56.1
121,121,Boca Juniors,Argentina Primera Division,1.39,0.96,55.99
122,122,New York City FC,Major League Soccer,1.65,1.21,55.84
123,123,Alavés,Spanish Primera Division,1.54,1.12,55.62
124,124,Sampdoria,Italy Serie A,1.59,1.17,55.47
125,125,Trabzonspor,Turkish Turkcell Super Lig,1.61,1.19,55.41
126,126,Sheffield United,English League Championship,1.46,1.05,55.32
127,127,Watford,Barclays Premier League,1.59,1.18,55.31
128,128,Sparta Prague,UEFA Europa League,1.61,1.2,55.28
129,129,Angers,French Ligue 1,1.42,1.02,55.25
130,130,Vitesse,Dutch Eredivisie,1.62,1.22,54.99
131,131,Toulouse,French Ligue 2,1.65,1.28,54.41
132,132,CSKA Moscow,Russian Premier Liga,1.4,1.04,54.36
133,133,Ferencvaros,UEFA Europa League,1.62,1.25,54.15
134,149,Internacional,Brasileiro Série A,1.43,1.07,54.09
135,134,Troyes,French Ligue 1,1.39,1.05,53.7
136,155,Santos,Brasileiro Série A,1.36,1.03,53.68
137,135,Famalicao,Portuguese Liga,1.5,1.16,53.68
138,136,Gil Vicente,Portuguese Liga,1.46,1.13,53.53
139,137,FC Krasnodar,Russian Premier Liga,1.39,1.06,53.5
140,138,Genoa,Italy Serie A,1.41,1.09,53.37
141,139,Molde,Norwegian Tippeligaen,1.8,1.47,53.21
142,140,Cruz Azul,Mexican Primera Division Torneo Clausura,1.32,1.01,53.18
143,141,Bodo/Glimt,Norwegian Tippeligaen,1.73,1.41,53.12
144,143,Corinthians,Brasileiro Série A,1.26,0.96,52.99
145,142,Brest,French Ligue 1,1.54,1.24,52.81
146,144,Spartak Moscow,Russian Premier Liga,1.47,1.2,52.14
147,145,Clermont Foot,French Ligue 1,1.44,1.16,52.09
148,146,Los Angeles FC,Major League Soccer,1.72,1.45,52.08
149,147,Yokohama F. Marinos,Japanese J League,1.64,1.37,51.99
150,150,Lorient,French Ligue 1,1.39,1.13,51.88
151,151,Basel,Swiss Raiffeisen Super League,1.62,1.35,51.8
152,152,Atlas,Mexican Primera Division Torneo Clausura,1.37,1.11,51.73
153,153,Cagliari,Italy Serie A,1.52,1.26,51.71
154,148,Fluminense,Brasileiro Série A,1.29,1.04,51.57
155,154,Istanbul Basaksehir,Turkish Turkcell Super Lig,1.37,1.13,51.53
156,157,SK Sturm Graz,Austrian T-Mobile Bundesliga,1.7,1.46,51.28
157,158,SpVgg Greuther Fürth,German Bundesliga,1.42,1.2,51.04
158,156,Bragantino,Brasileiro Série A,1.33,1.1,50.98
159,159,FC Zurich,Swiss Raiffeisen Super League,1.74,1.52,50.72
160,160,Coventry City,English League Championship,1.5,1.29,50.59
161,161,West Bromwich Albion,English League Championship,1.25,1.05,50.42
162,162,FK Partizan Belgrade,UEFA Europa Conference League,1.42,1.22,50.35
163,163,Santos Laguna,Mexican Primera Division Torneo Clausura,1.48,1.29,50.28
164,164,Maccabi Tel-Aviv,UEFA Europa Conference League,1.3,1.11,50.21
165,165,Empoli,Italy Serie A,1.63,1.45,50.16
166,166,PAOK Salonika,Greek Super League,1.25,1.06,50.15
167,167,Panathinaikos,Greek Super League,1.14,0.95,49.89
168,175,Ceará,Brasileiro Série A,1.23,1.05,49.81
169,168,Legia Warsaw,UEFA Europa League,1.43,1.26,49.78
170,169,Guadalajara,Mexican Primera Division Torneo Clausura,1.3,1.13,49.61
171,170,Montpellier,French Ligue 1,1.44,1.27,49.58
172,171,Santa Clara,Portuguese Liga,1.29,1.13,49.53
173,172,Rapid Vienna,Austrian T-Mobile Bundesliga,1.46,1.29,49.51
174,173,Arminia Bielefeld,German Bundesliga,1.45,1.3,49.41
175,174,Defensa y Justicia,Argentina Primera Division,1.34,1.19,49.27
176,177,Kasimpasa,Turkish Turkcell Super Lig,1.78,1.66,48.76
177,178,Spezia,Italy Serie A,1.51,1.39,48.7
178,179,Schalke 04,German 2. Bundesliga,1.66,1.54,48.61
179,176,Atlético Paranaense,Brasileiro Série A,1.22,1.09,48.5
180,180,Hamburg SV,German 2. Bundesliga,1.59,1.48,48.37
181,181,Dinamo Moscow,Russian Premier Liga,1.48,1.38,48.07
182,182,FK Austria Vienna,Austrian T-Mobile Bundesliga,1.39,1.3,47.96
183,183,St Etienne,French Ligue 1,1.4,1.3,47.88
184,184,Werder Bremen,German 2. Bundesliga,1.59,1.51,47.72
185,185,FC Sheriff Tiraspol,UEFA Europa League,1.49,1.41,47.71
186,187,Besiktas,Turkish Turkcell Super Lig,1.44,1.37,47.64
187,188,St Gallen,Swiss Raiffeisen Super League,1.75,1.69,47.57
188,189,LASK Linz,Austrian T-Mobile Bundesliga,1.49,1.42,47.54
189,191,Kawasaki Frontale,Japanese J League,1.39,1.31,47.41
190,192,Philadelphia Union,Major League Soccer,1.38,1.32,47.31
191,193,Lokomotiv Moscow,Russian Premier Liga,1.34,1.27,47.28
192,195,Heerenveen,Dutch Eredivisie,1.47,1.41,47.1
193,196,Salernitana,Italy Serie A,1.48,1.42,47.09
194,197,Norwich City,Barclays Premier League,1.47,1.42,47.05
195,190,América Mineiro,Brasileiro Série A,1.16,1.09,47.02
196,198,Antwerp,Belgian Jupiler League,1.28,1.23,46.87
