,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
30000,2,2,3,2,3,2,2,3,2,2,2,2,2,3,3,2,3,2,3,2,2,2,3,2,3,3,3,2,3,3,3,3,2,3,3,3,2,2
30001,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,2,3,2,3,2,3,2,2
30002,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,3,2,3,2,3,2,2
30003,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,3,3,2,2,3,3,2,3,2,3,2,2,3,2
30004,2,2,2,2,3,3,2,3,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,3,2,3,3,2,3,3,2,3,2,2,2,2
30005,2,2,3,2,3,2,2,3,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,3,2,3,2,2
30006,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,0,2,3,2,2,2,2,1,2,2,3,1,3,2,2,2,3,2,3,2,2,2,2
30007,2,3,2,2,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,1,2,3,3,3,3,3,3,2,3,3,3
30008,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,3,3,2,3,2,3,2,2,3,3
30009,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,3,2,3,3,3,2,3,3,3,2,2,3,2
30010,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,3,2,2,2,2
30011,2,2,3,2,2,2,3,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,3,3,2,3,2,3,2,3,2,2
30012,2,2,3,2,2,2,2,3,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,2,3,3,3,2,3,2,3,2,2,2,2
30013,2,2,3,3,3,2,3,3,3,3,3,2,2,2,2,2,3,3,2,2,3,2,3,2,3,3,3,2,3,3,2,3,1,3,2,2,3,2
30014,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,3,3,2,3,2,3,2,2,2,1
30015,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,3,3,2,3,2,3,2,2,2,3
30016,2,2,3,3,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,3,3,2,3,3,2,3,3,2,2,2,2,2,2
30017,2,2,3,2,2,2,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,3,3,2,3,2,3,2,2,2,2
30018,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,2,1,1,3,2,2,2,2,2,3,2,3
